"More information about how to understand this document is under ""\team\Eco_2025\04_Mechanical Engineering\02RunningGear\02Suspension\Multibody simulations\Nodal Forces 21.04_CattleGrids\IMPORTANT NOTES ON NODAL FORCES.xlsx""",,,,,
,t @ (max magnitude),MAG,X,Y,Z
RR1,0.8371,2472.6724,1693.8200,104.9790,1798.3500
RR2,0.9375,1018.8388,972.7910,-302.7310,8.0025
RR3,0.9375,1018.8388,963.5990,-302.7310,-133.6540
RR4,0.89320004,536.0284,535.9430,-9.2087,-2.6036
RR5,0.89320004,536.0292,529.3590,-9.2087,-83.7944
RR6,0.83210003,1074.1477,-876.1400,621.3960,-6.2533
RR7,0.83210003,1074.1475,-866.3040,621.3960,131.0620
RR8,0.8792,3749.3113,-3558.2200,354.2730,-1127.3400
RR9,0.8792,3749.3132,-3692.1200,354.2730,-547.8040
RR10,0.8446,1631.6030,-1631.3800,24.7145,-10.8093
RR11,0.8446,1631.6040,-1610.0000,24.7145,263.4780
RR12,0.8862001,2507.0637,2448.0900,-540.0900,-22.9304
RR13,0.8862001,2507.0647,2415.3699,-540.0900,-399.5790
RR14,0.8792,1643.6270,1643.6200,0.0940,-4.7860
RR15,0.8792,1643.6268,1621.9900,0.0310,-265.8150
RR16,0.8792,1645.0322,-1645.0300,0.0748,-2.7329
RR17,0.8792,1645.0255,-1624.5701,0.0389,258.6140
RR18,0.8393,3067.3972,2606.9600,-0.4152,1616.3800
RR19,0.8393,3067.3936,2769.0498,-0.4152,1319.5700
RR20,0.8391,3097.3596,-2781.2300,-0.3899,-1363.2300
RR21,0.8391,3097.3635,-2523.4700,-0.3899,-1796.0400
RR22,0.8371,2472.6704,-1624.7999,-105.5360,1860.9100
